user,timestamp,ip,event,details,item_id,quantity,price,error_type,message,Base64Error
,2024-11-18T10:51:35.994753,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T10:51:35.994753,
user_990,2024-11-18T18:36:30.994762,189.231.112.179,purchase,"{'item_id': 4112, 'quantity': 1, 'price': 253.65}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_461,2024-11-17T20:17:49.994777,156.46.253.133,error,,5483.0,1.0,256.02,,,
user_103,2024-11-18T01:56:14.994807,197.46.189.26,update,,5661.0,3.0,938.88,,,
user_967,2024-11-19T13:35:22.994826,86.68.13.113,login,,9557.0,1.0,792.41,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_718,2024-11-19T09:37:12.994892,212.227.111.18,purchase,,4008.0,4.0,294.87,,,
user_631,2024-11-18T04:52:12.994920,181.86.25.99,purchase,"{'item_id': 8172, 'quantity': 5, 'price': 176.35}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_801,2024-11-18T09:37:26.994995,180.65.138.111,login,,5140.0,2.0,368.35,,,
user_140,2024-11-19T05:55:58.995017,91.179.206.113,purchase,,6520.0,4.0,449.61,,,
user_429,2024-11-18T13:52:17.995023,122.146.255.152,logout,"{'item_id': 3490, 'quantity': 4, 'price': 252.9}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_486,2024-11-18T14:19:49.995043,157.102.80.6,purchase,"{'item_id': 2522, 'quantity': 5, 'price': 850.41}",,,,,,
user_524,2024-11-19T01:02:09.995075,224.153.235.15,purchase,"{'item_id': 8491, 'quantity': 4, 'price': 699.69}",,,,,,
user_179,2024-11-19T06:27:44.995089,244.32.178.246,update,,5296.0,2.0,876.82,,,
user_255,2024-11-18T14:36:26.995095,91.119.16.119,login,"{'item_id': 9824, 'quantity': 4, 'price': 370.59}",,,,,,
,2024-11-17T19:06:18.995104,,,,,,,InvalidBase64,Data cannot be decoded,
user_970,2024-11-17T19:45:37.995106,193.184.186.84,error,,6370.0,5.0,763.32,,,
user_9,2024-11-18T15:32:24.995144,59.19.134.126,logout,,3116.0,5.0,80.79,,,
user_137,2024-11-18T03:25:16.995168,192.59.212.120,update,"{'item_id': 1421, 'quantity': 3, 'price': 917.21}",,,,,,
user_288,2024-11-17T22:10:44.995176,153.223.58.196,logout,"{'item_id': 1728, 'quantity': 4, 'price': 621.16}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_814,2024-11-17T23:13:58.995248,70.200.7.106,purchase,,5793.0,5.0,871.03,,,
user_204,2024-11-19T09:56:01.995269,165.240.21.183,update,,5756.0,5.0,522.13,,,
user_549,2024-11-18T01:14:06.995275,157.175.215.121,login,"{'item_id': 5647, 'quantity': 4, 'price': 500.38}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_395,2024-11-17T19:31:06.995302,43.26.210.94,error,"{'item_id': 2735, 'quantity': 2, 'price': 40.44}",,,,,,
user_213,2024-11-17T21:52:11.995315,217.97.13.195,error,"{'item_id': 4838, 'quantity': 4, 'price': 108.61}",,,,,,
user_65,2024-11-19T13:53:50.995321,35.245.113.90,logout,"{'item_id': 5486, 'quantity': 4, 'price': 538.85}",,,,,,
user_941,2024-11-18T09:16:33.995329,54.44.223.100,purchase,,3319.0,4.0,847.47,,,
,2024-11-19T11:45:47.995337,,,,,,,InvalidBase64,Data cannot be decoded,
,2024-11-18T02:50:46.995343,,,,,,,TimeoutError,Connection to DB failed,
user_948,2024-11-19T08:29:09.995345,187.144.9.52,purchase,,4787.0,4.0,945.97,,,
user_919,2024-11-18T18:05:45.995357,194.215.211.15,logout,"{'item_id': 1404, 'quantity': 1, 'price': 767.01}",,,,,,
,2024-11-19T05:43:25.995364,,,,,,,InvalidBase64,Data cannot be decoded,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-19T15:10:55.995400,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T15:10:55.995400,
user_785,2024-11-19T15:14:22.995402,52.27.94.101,error,,3208.0,1.0,45.83,,,
user_688,2024-11-19T07:12:05.995408,246.7.250.78,logout,,9888.0,1.0,695.19,,,
user_980,2024-11-19T16:39:28.995419,164.116.134.197,purchase,,7173.0,3.0,520.16,,,
user_942,2024-11-18T22:00:50.995428,125.35.104.69,update,"{'item_id': 6304, 'quantity': 2, 'price': 591.65}",,,,,,
user_161,2024-11-18T07:25:26.995463,191.160.233.170,update,,4180.0,4.0,659.12,,,
user_654,2024-11-18T23:39:22.995480,208.143.35.81,update,,8405.0,4.0,650.68,,,
,2024-11-18T06:10:53.995493,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T06:10:53.995493,
,2024-11-18T14:49:38.995497,,,,,,,InvalidBase64,Data cannot be decoded,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_671,2024-11-17T17:31:17.995519,211.54.211.192,purchase,,1798.0,3.0,262.52,,,
,2024-11-19T08:26:06.995525,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T08:26:06.995525,
user_115,2024-11-17T20:17:33.995528,160.192.237.95,error,,6135.0,1.0,495.4,,,
,2024-11-19T05:38:50.995545,,,,,,,TimeoutError,Connection to DB failed,
user_195,2024-11-18T02:27:13.995547,29.65.48.232,logout,,5062.0,5.0,106.76,,,
user_879,2024-11-19T00:25:49.995575,49.181.208.222,error,"{'item_id': 3382, 'quantity': 5, 'price': 393.7}",,,,,,
user_661,2024-11-18T19:09:49.995586,40.111.129.55,logout,,7603.0,3.0,520.21,,,
user_870,2024-11-18T13:52:02.995599,138.127.212.19,update,,7658.0,2.0,11.22,,,
user_95,2024-11-17T21:44:33.995612,198.169.15.48,logout,,1272.0,3.0,911.53,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T18:52:27.995630,,,,,,,TimeoutError,Connection to DB failed,
user_602,2024-11-18T08:54:09.995645,22.18.215.146,update,"{'item_id': 2733, 'quantity': 1, 'price': 733.31}",,,,,,
user_643,2024-11-19T05:19:41.995669,180.178.190.244,logout,,8655.0,3.0,479.31,,,
user_201,2024-11-18T14:29:04.995686,160.206.116.199,logout,,9833.0,5.0,307.37,,,
,2024-11-19T15:35:31.995700,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T15:35:31.995700,
user_242,2024-11-19T00:38:50.995704,195.45.129.102,error,,5266.0,4.0,737.21,,,
user_450,2024-11-18T19:45:39.995711,108.110.140.163,login,"{'item_id': 7293, 'quantity': 1, 'price': 772.59}",,,,,,
,2024-11-19T01:41:42.995744,,,,,,,InvalidBase64,Data cannot be decoded,
,2024-11-18T09:29:28.995746,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T09:29:28.995746,
,2024-11-18T06:21:39.995748,,,,,,,TimeoutError,Connection to DB failed,
user_519,2024-11-17T23:27:26.995757,130.248.2.210,logout,,1702.0,1.0,435.55,,,
user_461,2024-11-18T19:10:22.995768,8.56.223.104,login,,8067.0,1.0,795.88,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_307,2024-11-19T13:35:42.995785,91.72.90.238,login,"{'item_id': 9334, 'quantity': 2, 'price': 707.88}",,,,,,
user_258,2024-11-18T22:27:01.995821,208.78.133.246,purchase,,6046.0,2.0,196.01,,,
user_485,2024-11-18T04:50:24.995846,107.95.99.224,error,,6684.0,2.0,255.61,,,
user_445,2024-11-18T17:36:26.995852,169.57.49.212,logout,,4610.0,4.0,688.27,,,
user_962,2024-11-18T19:56:49.995858,24.108.255.98,error,"{'item_id': 9889, 'quantity': 4, 'price': 30.68}",,,,,,
,2024-11-17T22:14:36.995880,,,,,,,InvalidBase64,Data cannot be decoded,
user_19,2024-11-19T02:25:16.995886,83.225.215.111,logout,,4200.0,4.0,966.04,,,
user_17,2024-11-19T10:41:58.995911,63.132.54.171,purchase,,3728.0,5.0,482.05,,,
user_115,2024-11-18T12:58:15.995936,2.128.213.237,update,"{'item_id': 4179, 'quantity': 1, 'price': 51.25}",,,,,,
,2024-11-18T13:51:48.995945,,,,,,,InvalidBase64,Data cannot be decoded,
,2024-11-19T05:17:07.995957,,,,,,,InvalidBase64,Data cannot be decoded,
user_149,2024-11-18T19:45:59.995971,38.186.182.188,purchase,"{'item_id': 6857, 'quantity': 2, 'price': 275.21}",,,,,,
user_393,2024-11-18T07:16:00.995982,23.75.77.89,error,,6924.0,4.0,366.44,,,
user_217,2024-11-18T16:01:58.995988,18.145.4.129,purchase,,3569.0,4.0,167.1,,,
,2024-11-17T22:57:11.995994,,,,,,,TimeoutError,Connection to DB failed,
user_332,2024-11-19T04:20:10.995997,14.35.96.137,login,,6597.0,1.0,890.16,,,
user_924,2024-11-18T19:51:59.996003,111.68.70.118,purchase,,2641.0,4.0,957.62,,,
user_340,2024-11-18T20:05:13.996020,189.79.181.108,error,"{'item_id': 6474, 'quantity': 5, 'price': 150.41}",,,,,,
user_208,2024-11-18T17:34:39.996034,148.58.244.214,purchase,,3253.0,3.0,666.1,,,
user_102,2024-11-19T16:59:16.996044,131.119.64.60,purchase,"{'item_id': 5066, 'quantity': 2, 'price': 59.63}",,,,,,
,2024-11-18T11:09:16.996067,,,,,,,InvalidBase64,Data cannot be decoded,
user_251,2024-11-19T05:27:45.996076,47.157.119.252,login,"{'item_id': 7549, 'quantity': 4, 'price': 34.9}",,,,,,
user_12,2024-11-18T19:45:21.996083,21.247.114.109,update,,6767.0,4.0,620.61,,,
user_443,2024-11-18T01:35:15.996095,144.85.143.67,update,"{'item_id': 1536, 'quantity': 4, 'price': 326.08}",,,,,,
,2024-11-18T13:09:13.996124,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T13:09:13.996124,
,2024-11-18T03:14:42.996128,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-19T03:29:53.996130,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T03:29:53.996130,
,2024-11-18T10:41:09.996132,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T10:41:09.996132,
,2024-11-17T18:30:12.996145,,,,,,,TimeoutError,Connection to DB failed 2024-11-17T18:30:12.996145,
user_117,2024-11-17T17:57:07.996161,202.51.45.254,purchase,,7367.0,3.0,821.59,,,
user_605,2024-11-18T16:49:27.996168,222.202.178.186,update,"{'item_id': 2410, 'quantity': 2, 'price': 963.88}",,,,,,
user_692,2024-11-18T07:42:43.996175,120.169.172.63,error,"{'item_id': 6259, 'quantity': 1, 'price': 95.19}",,,,,,
user_927,2024-11-19T08:12:30.996181,113.230.169.110,update,,5702.0,2.0,65.5,,,
user_299,2024-11-17T18:00:46.996190,150.134.28.109,update,,6487.0,1.0,717.24,,,
,2024-11-19T08:21:02.996200,,,,,,,InvalidBase64,Data cannot be decoded,
,2024-11-18T18:51:35.996205,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T18:51:35.996205,
,,,,,,,,,,Invalid Base64 or decoding error
user_512,2024-11-17T20:52:29.996217,159.117.143.3,purchase,"{'item_id': 4973, 'quantity': 1, 'price': 154.8}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_906,2024-11-17T18:24:33.996254,223.178.186.35,purchase,,8855.0,5.0,793.13,,,
user_258,2024-11-18T09:23:43.996260,92.84.203.115,purchase,,4570.0,5.0,977.99,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_609,2024-11-19T07:29:36.996318,104.6.11.21,update,,4930.0,1.0,675.0,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_535,2024-11-18T06:03:05.996335,160.60.228.59,login,"{'item_id': 9256, 'quantity': 3, 'price': 669.3}",,,,,,
,2024-11-19T02:26:49.996342,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T02:26:49.996342,
user_970,2024-11-18T00:20:02.996349,120.170.155.234,error,,9041.0,4.0,712.37,,,
user_103,2024-11-18T13:59:08.996361,135.6.21.8,logout,,4167.0,3.0,238.84,,,
user_761,2024-11-19T16:57:51.996371,254.209.67.153,login,"{'item_id': 9639, 'quantity': 2, 'price': 179.25}",,,,,,
user_977,2024-11-18T02:57:57.996378,179.22.106.231,login,"{'item_id': 8981, 'quantity': 1, 'price': 704.33}",,,,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_620,2024-11-18T10:05:02.996406,87.174.21.81,login,,9344.0,1.0,574.6,,,
,2024-11-17T20:58:53.996412,,,,,,,TimeoutError,Connection to DB failed,
user_981,2024-11-19T09:06:30.996433,60.145.234.11,login,"{'item_id': 2941, 'quantity': 4, 'price': 228.45}",,,,,,
user_615,2024-11-19T10:12:49.996448,73.64.113.143,logout,,5815.0,3.0,490.32,,,
user_246,2024-11-18T19:29:21.996460,182.224.115.199,error,,4953.0,5.0,225.02,,,
user_169,2024-11-18T05:30:24.996469,101.173.200.205,login,,2789.0,1.0,306.83,,,
user_25,2024-11-19T13:49:46.996475,93.32.36.248,error,"{'item_id': 1816, 'quantity': 1, 'price': 626.99}",,,,,,
user_765,2024-11-18T00:30:57.996495,130.227.206.173,purchase,,1521.0,2.0,542.68,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-19T13:33:12.996516,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T13:33:12.996516,
user_110,2024-11-18T17:41:48.996540,162.75.181.44,update,,1157.0,2.0,280.38,,,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T09:30:46.996585,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T09:30:46.996585,
,2024-11-18T05:05:49.996587,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T05:05:49.996587,
user_452,2024-11-17T18:31:03.996598,142.15.25.208,error,,4239.0,1.0,395.58,,,
user_139,2024-11-18T13:22:40.996640,97.65.73.178,logout,,2210.0,1.0,873.95,,,
,2024-11-19T05:38:34.996653,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T05:38:34.996653,
user_690,2024-11-18T16:49:48.996657,153.240.247.7,error,,6158.0,5.0,307.28,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_465,2024-11-19T13:12:25.996673,75.238.227.142,login,,3129.0,3.0,354.77,,,
,2024-11-19T03:49:28.996681,,,,,,,TimeoutError,Connection to DB failed,
user_864,2024-11-17T22:37:18.996687,183.83.41.71,logout,"{'item_id': 4221, 'quantity': 2, 'price': 794.91}",,,,,,
,2024-11-19T06:19:52.996695,,,,,,,TimeoutError,Connection to DB failed,
user_943,2024-11-18T21:56:38.996698,167.217.216.86,update,,6170.0,4.0,97.14,,,
user_942,2024-11-18T19:12:59.996704,2.51.197.52,error,,8770.0,5.0,467.02,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_463,2024-11-18T02:51:16.996741,224.55.106.180,update,,7145.0,3.0,878.13,,,
user_356,2024-11-18T23:34:04.996763,158.206.180.15,purchase,,8824.0,5.0,591.12,,,
,2024-11-19T09:06:11.996769,,,,,,,TimeoutError,Connection to DB failed,
user_814,2024-11-18T14:32:16.996774,110.13.185.119,error,,8927.0,1.0,26.47,,,
user_398,2024-11-18T21:35:45.996781,106.144.229.6,update,,5817.0,2.0,124.8,,,
user_86,2024-11-18T01:28:50.996787,202.12.56.2,logout,"{'item_id': 6311, 'quantity': 4, 'price': 240.14}",,,,,,
user_526,2024-11-19T11:57:53.996808,47.27.70.155,logout,"{'item_id': 7434, 'quantity': 3, 'price': 825.32}",,,,,,
,2024-11-18T06:57:55.996826,,,,,,,InvalidBase64,Data cannot be decoded,
user_443,2024-11-18T16:08:10.996837,218.207.123.94,logout,,8710.0,4.0,258.06,,,
user_605,2024-11-18T00:59:06.996846,60.54.210.250,error,,7771.0,4.0,284.03,,,
,2024-11-19T01:52:01.996869,,,,,,,TimeoutError,Connection to DB failed,
user_113,2024-11-18T13:04:25.996871,53.230.16.113,update,"{'item_id': 8199, 'quantity': 3, 'price': 898.21}",,,,,,
user_393,2024-11-18T05:42:42.996885,108.51.235.188,login,"{'item_id': 6242, 'quantity': 1, 'price': 585.89}",,,,,,
,2024-11-17T17:41:32.996891,,,,,,,InvalidBase64,Data cannot be decoded,
user_35,2024-11-18T21:08:52.996899,1.67.161.114,update,,1376.0,2.0,187.31,,,
user_210,2024-11-18T12:25:18.996908,88.171.200.225,login,,1569.0,1.0,923.89,,,
user_75,2024-11-19T10:45:45.996920,129.175.232.242,update,"{'item_id': 9487, 'quantity': 3, 'price': 422.6}",,,,,,
,2024-11-19T05:37:57.996933,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T05:37:57.996933,
user_229,2024-11-19T14:38:16.996940,82.104.224.146,purchase,"{'item_id': 8334, 'quantity': 3, 'price': 13.79}",,,,,,
,2024-11-18T01:18:27.996950,,,,,,,TimeoutError,Connection to DB failed,
user_747,2024-11-19T07:57:23.996961,254.159.235.212,error,,5997.0,1.0,261.48,,,
,2024-11-18T02:21:28.996970,,,,,,,InvalidBase64,Data cannot be decoded,
user_982,2024-11-18T18:25:57.996980,167.81.230.155,update,,9638.0,5.0,15.71,,,
user_151,2024-11-19T09:26:30.996993,118.23.133.138,logout,"{'item_id': 6326, 'quantity': 1, 'price': 90.34}",,,,,,
user_452,2024-11-19T16:11:41.996999,128.168.167.160,login,,1008.0,1.0,690.11,,,
,2024-11-19T11:34:37.997022,,,,,,,TimeoutError,Connection to DB failed,
,2024-11-18T03:30:45.997026,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T03:30:45.997026,
,2024-11-19T06:55:11.997028,,,,,,,TimeoutError,Connection to DB failed,
user_111,2024-11-18T01:20:49.997039,38.66.40.29,logout,"{'item_id': 2772, 'quantity': 1, 'price': 97.7}",,,,,,
user_33,2024-11-19T15:37:08.997046,169.169.226.220,purchase,,8253.0,3.0,524.52,,,
user_144,2024-11-18T02:07:09.997052,88.96.193.15,purchase,,3001.0,3.0,906.26,,,
user_263,2024-11-19T14:19:47.997058,31.155.67.74,logout,,5733.0,3.0,563.7,,,
user_380,2024-11-18T20:56:11.997064,68.146.248.195,login,,8383.0,2.0,949.2,,,
user_875,2024-11-18T19:56:08.997087,253.198.8.29,error,,6787.0,2.0,394.83,,,
user_586,2024-11-18T16:11:04.997107,94.104.39.170,error,"{'item_id': 5588, 'quantity': 1, 'price': 828.8}",,,,,,
user_945,2024-11-18T02:43:52.997114,5.159.31.50,update,,5012.0,5.0,400.5,,,
,2024-11-18T00:50:04.997120,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-18T00:50:04.997120,
user_796,2024-11-18T20:58:38.997130,12.5.85.247,login,"{'item_id': 5358, 'quantity': 5, 'price': 941.92}",,,,,,
user_45,2024-11-19T00:47:18.997158,198.209.59.234,error,,7362.0,5.0,78.49,,,
user_171,2024-11-19T05:50:54.997166,63.88.60.235,login,,1881.0,4.0,654.83,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_500,2024-11-18T19:56:27.997194,72.3.180.53,update,,2226.0,4.0,559.91,,,
user_553,2024-11-18T07:48:38.997200,116.13.96.176,update,"{'item_id': 6435, 'quantity': 1, 'price': 207.37}",,,,,,
,2024-11-18T13:28:51.997207,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T13:28:51.997207,
user_358,2024-11-19T10:32:01.997212,192.248.115.68,login,"{'item_id': 9964, 'quantity': 2, 'price': 214.28}",,,,,,
,2024-11-19T06:12:39.997218,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T06:12:39.997218,
user_854,2024-11-19T13:59:38.997221,77.139.248.118,logout,,1457.0,1.0,615.26,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_375,2024-11-17T17:21:43.997238,153.173.180.43,update,"{'item_id': 1986, 'quantity': 1, 'price': 460.52}",,,,,,
user_710,2024-11-18T22:42:44.997248,4.173.82.196,update,,1963.0,2.0,754.48,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_725,2024-11-18T06:55:23.997265,48.21.47.33,purchase,,1080.0,4.0,426.05,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_118,2024-11-17T22:36:27.997308,24.187.39.30,error,,5904.0,4.0,125.31,,,
user_503,2024-11-17T23:42:50.997318,75.228.78.102,error,"{'item_id': 4711, 'quantity': 1, 'price': 995.43}",,,,,,
user_366,2024-11-19T03:01:44.997327,118.226.130.7,update,,2037.0,2.0,254.05,,,
user_418,2024-11-18T05:04:20.997333,37.202.24.163,error,,9818.0,5.0,20.73,,,
,2024-11-19T12:28:07.997358,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-19T12:28:07.997358,
user_271,2024-11-19T08:15:43.997381,73.25.97.204,login,"{'item_id': 7225, 'quantity': 3, 'price': 87.96}",,,,,,
user_244,2024-11-17T17:18:19.997392,31.252.84.28,login,,7828.0,1.0,928.01,,,
user_756,2024-11-19T13:07:10.997408,197.11.28.170,logout,"{'item_id': 2439, 'quantity': 2, 'price': 953.61}",,,,,,
user_272,2024-11-18T20:08:08.997441,43.102.183.180,purchase,"{'item_id': 2881, 'quantity': 1, 'price': 834.85}",,,,,,
user_204,2024-11-19T04:35:19.997452,23.134.3.22,error,,7853.0,4.0,39.5,,,
user_356,2024-11-19T05:12:27.997458,50.60.222.175,update,,8460.0,4.0,314.19,,,
user_102,2024-11-19T01:26:42.997464,187.94.139.14,purchase,,5731.0,4.0,193.7,,,
user_116,2024-11-18T06:48:30.997477,255.143.76.194,purchase,,7319.0,3.0,748.51,,,
,2024-11-19T13:39:42.997492,,,,,,,TimeoutError,Connection to DB failed,
user_925,2024-11-18T02:04:56.997500,123.64.218.121,logout,,8501.0,5.0,321.49,,,
user_593,2024-11-18T16:19:53.997507,220.133.13.242,logout,,5626.0,4.0,306.72,,,
,2024-11-18T12:50:09.997526,,,,,,,InvalidBase64,Data cannot be decoded,
user_894,2024-11-19T03:11:10.997529,174.231.37.153,login,,4100.0,5.0,717.64,,,
user_502,2024-11-18T21:38:00.997537,82.111.237.126,logout,,4059.0,3.0,469.59,,,
user_679,2024-11-18T03:53:21.997543,118.178.117.32,login,,7491.0,3.0,116.8,,,
user_314,2024-11-19T05:39:37.997559,172.238.73.250,login,"{'item_id': 4802, 'quantity': 2, 'price': 43.62}",,,,,,
user_45,2024-11-18T10:25:15.997566,69.30.183.170,purchase,,4369.0,5.0,519.37,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_955,2024-11-19T02:18:41.997586,134.129.228.84,purchase,,1227.0,5.0,366.17,,,
user_919,2024-11-18T14:27:24.997592,91.125.60.202,error,,9918.0,5.0,619.75,,,
user_449,2024-11-17T19:31:48.997620,196.23.232.177,update,"{'item_id': 6518, 'quantity': 4, 'price': 244.97}",,,,,,
,2024-11-17T19:27:25.997626,,,,,,,InvalidBase64,Data cannot be decoded 2024-11-17T19:27:25.997626,
user_442,2024-11-18T11:32:57.997628,56.83.210.190,update,,6175.0,3.0,196.68,,,
user_16,2024-11-19T13:39:34.997641,167.179.218.220,purchase,"{'item_id': 4510, 'quantity': 1, 'price': 646.97}",,,,,,
user_139,2024-11-19T04:30:44.997648,207.48.70.162,error,,2610.0,1.0,11.96,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_81,2024-11-19T06:05:27.997664,233.254.233.87,login,,2763.0,5.0,553.52,,,
user_968,2024-11-19T11:04:16.997683,220.83.218.170,logout,,7286.0,3.0,138.92,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_757,2024-11-18T14:55:42.997700,137.231.192.70,logout,,8631.0,4.0,499.98,,,
user_664,2024-11-18T04:41:45.997716,73.163.193.144,logout,"{'item_id': 4304, 'quantity': 4, 'price': 949.42}",,,,,,
user_980,2024-11-19T15:23:26.997723,27.213.62.206,logout,,3794.0,2.0,785.88,,,
user_551,2024-11-18T16:57:39.997733,2.154.30.213,purchase,"{'item_id': 9498, 'quantity': 1, 'price': 239.45}",,,,,,
,2024-11-18T23:10:04.997739,,,,,,,InvalidBase64,Data cannot be decoded,
user_745,2024-11-19T01:04:22.997743,230.227.74.81,logout,,1362.0,5.0,732.57,,,
user_370,2024-11-19T11:21:43.997752,96.27.105.62,login,,3474.0,1.0,261.91,,,
user_555,2024-11-17T23:52:30.997764,72.170.86.230,login,,4585.0,1.0,249.11,,,
,,,,,,,,,,Invalid Base64 or decoding error
user_726,2024-11-17T23:53:58.997803,47.91.180.239,error,,5291.0,1.0,516.38,,,
,2024-11-19T14:38:51.997809,,,,,,,TimeoutError,Connection to DB failed 2024-11-19T14:38:51.997809,
user_811,2024-11-19T14:20:22.997812,126.197.140.141,logout,,2536.0,2.0,569.64,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T08:16:35.997846,,,,,,,TimeoutError,Connection to DB failed 2024-11-18T08:16:35.997846,
user_695,2024-11-18T05:46:04.997848,87.187.154.120,purchase,,4821.0,2.0,314.91,,,
user_106,2024-11-18T09:30:44.997854,228.164.254.8,logout,"{'item_id': 5415, 'quantity': 3, 'price': 586.33}",,,,,,
user_799,2024-11-19T10:36:45.997867,226.52.205.127,update,,3303.0,5.0,832.13,,,
user_310,2024-11-19T15:09:59.997873,46.85.199.201,error,,1304.0,3.0,18.54,,,
user_649,2024-11-18T20:00:08.997879,90.140.39.127,error,"{'item_id': 7573, 'quantity': 5, 'price': 321.94}",,,,,,
user_759,2024-11-17T18:55:11.997885,151.211.148.156,error,,2547.0,1.0,172.41,,,
user_765,2024-11-18T08:59:39.997891,189.69.213.232,update,,1030.0,1.0,123.6,,,
,,,,,,,,,,Invalid Base64 or decoding error
,2024-11-18T16:43:55.997910,,,,,,,TimeoutError,Connection to DB failed,
,,,,,,,,,,Invalid Base64 or decoding error
,,,,,,,,,,Invalid Base64 or decoding error
user_531,2024-11-19T02:16:30.997951,14.103.206.118,error,"{'item_id': 2039, 'quantity': 5, 'price': 929.07}",,,,,,
